"CHILDID","S7_ID","X_CHSEX_R","X7AGE","X7GRDLVL","X7PUBPRI","X_RACETH_R","CBEHAVE_POS","CBEHAVE_NEG","PEERVIC_T","PEERAGG_T","PEERVIC_C","X7RTHETK4","X7MTHETK4","X7STHETK4","X7PWKMEM","X7TCHAPP","X7TCHCON","X7TCHPER","X7TCHEXT","X7TCHINT","X7ATTMCQ","X7INTMCQ","X7BMI","PARENTINV","EXTRACUR","PARENTDEP","P7HEALTH"
10000001,1861,1,115.07,1,1,1,3,4.375,1.75,1.5,3.5,3.8837,3.7592,2.9325,1,2.5714,2.75,3.2,2.3333,1.75,1.1667,3,16.5849,4,1,1.08333333333333,1
10000007,3719,2,104.68,1,1,1,3.6,2.75,1.5,2.25,3.75,2.0076,2.8234,2.2795,1.5,3.1429,2.75,3,2.1667,1.25,3,3.7143,14.3809,2,2,1.25,1
10000014,1433,1,106.85,1,1,1,4,1.375,1,1.25,1.25,3.0546,3.1403,2.5368,1.25,4,3.75,3.4,1.3333,1,4.8333,4,17.5486,5,1,1.33333333333333,2
10000020,1365,2,111.12,1,1,5,4.8,1.125,1,1,1.5,3.3599,3.0342,2.9257,1.25,3.8571,4,3.6,1,1,4.8333,4.8571,22.569,3,0,1.41666666666667,2
10000021,3406,2,114.81,1,1,1,4.2,1.25,1.75,2,3.25,3.0401,3.9704,2.5287,1,3.8571,3,2.8,2.3333,1.75,4.6667,4.4286,15.5279,3,2,1,1
10000022,1405,2,110.99,1,1,8,3.8,1.125,1,1,1.75,3.1897,3.6718,3.1534,1,3.1429,3.25,3.8,1.3333,1.25,4.8333,4.1429,16.5948,4,2,1,1
10000023,3153,1,117.44,1,1,1,4.4,1.625,1,1,2,4.0067,4.1665,3.3296,1.5,3.5714,4,4,1.1667,1,4.1667,4.5714,16.0876,5,2,1.58333333333333,1
10000024,2329,1,106.72,1,1,1,4.6,1.625,1,1,1.5,3.3655,4.0327,2.8678,2,3.1429,3.75,4,1.3333,1,4.1667,4.7143,17.3167,4,2,1.16666666666667,2
10000026,1062,2,109.35,1,1,2,1.8,4.625,2.75,2.5,2,2.016,2.488,1.1009,3,1.8571,2.25,2.2,2.8333,1.75,1.1667,1.8571,26.1321,3,1,1.41666666666667,1
10000029,2042,2,110.4,1,1,1,4.4,1.25,2,1.75,4.25,2.6574,3.7922,2.2363,1.5,3.4286,2.3333,2.4,2.3333,1.75,4.6667,4.5714,15.2678,5,1,1.16666666666667,2
10000030,1704,2,115.43,1,2,1,4.8,1.5,1,1,3,2.4185,3.5175,2.0735,1.5,3.8571,4,3.6,1,1.25,4.6667,4.5714,17.3837,4,1,1.41666666666667,2
10000032,1691,2,109.84,1,1,1,4.8,1.125,1,1,2,3.0387,3.2336,2.963,1.25,3.8571,3.5,4,1.8333,2,5,4.7143,19.8279,4,2,1.75,3
10000038,1603,1,111.81,1,2,3,3.4,3.625,2.25,2.25,2.25,2.1594,3.5648,1.6126,1,2.2857,2.5,2.2,2.3333,2,2.5,3,26.3073,5,1,1,2
10000046,2006,1,112.9,1,1,1,2.2,4.25,1,1.5,2.75,2.5951,2.8934,0.3576,1.75,1.8571,2.25,2.6,2.6667,2,1.5,2.2857,15.2412,5,2,1.83333333333333,3
10000047,1438,1,105.3,1,1,1,2.4,4.75,2.5,3.25,2,2.2485,2.7085,2.9968,2,1.8571,2,2.2,2.8333,1.5,1.3333,2,14.6338,4,1,1.5,3
10000050,1120,1,111.09,1,1,1,2.6,2.875,1.75,2.25,3.5,2.8694,3.8234,1.6229,1.75,2.5714,2,2,2.1667,2.5,3.3333,2.5714,17.0966,4,1,1.08333333333333,3
10000052,1365,2,107.47,1,1,1,3.8,3.375,1,1,1,2.4671,1.8714,2.1084,2.25,2.7143,3.6667,3.6,1,1.5,2,4,19.1635,5,1,2,3
10000056,1034,2,113.33,1,1,3,4.2,1.375,1,1,1.25,3.2586,4.0248,2.2171,1,4,3.5,3.8,1.1667,1.75,4.5,4.4286,16.9807,5,2,1,1
10000058,1325,1,107.18,1,1,1,4.6,1.75,1.25,1,1.5,3.2828,3.8137,3.0283,1.75,4,4,4,1.3333,1,4,4.7143,24.1109,5,1,1.16666666666667,2
10000062,1499,1,109.78,1,1,3,3.6,2.75,1.5,2,3.5,2.2391,2.9674,1.731,2,3,2.75,2.6,2,1.75,3,3.7143,18.0448,5,2,1.33333333333333,2
10000064,3070,2,98.73,2,1,1,4,1.375,1.25,1,2.75,2.3909,3.7071,2.1071,1.75,4,3.5,3.5,1.8333,1,4.6667,4.1429,16.4558,5,1,1.16666666666667,2
10000066,2654,1,108.13,1,1,3,3,3.125,2,1.75,1,2.7742,3.8074,3.2692,2.75,2.4286,2.75,3,2,1.25,3,2.8571,16.2732,5,0,1.33333333333333,4
10000068,1599,2,111.62,1,1,4,4,2.5,1.25,1,3.75,1.9974,2.4471,1.4381,1.75,3.1429,4,3.4,1.3333,2.25,3,4.2857,22.6999,4,2,1.58333333333333,1
10000070,1689,1,108.16,1,2,1,3.6,2.875,1.25,3,1,2.8625,3.7143,2.8514,1.75,2.8571,3,2.6,2.6667,1.75,3,3.5714,18.443,4,2,1.25,2
10000071,2122,2,105.83,1,1,1,3,2.5,1.25,1.75,2.5,2.6017,3.2196,1.461,1.75,3,3.75,3,1.6667,1.75,3.6667,3,25.9131,3,0,1.66666666666667,3
10000072,2300,2,103.79,1,1,3,4.6,1,1,1,2.5,3.9899,3.9878,3.7864,1.25,3.7143,3.75,3.6,1,1,5,4.7143,18.2801,5,2,1,2
10000075,2006,1,108.16,1,1,1,3.8,1.75,1,1.25,3,2.907,3.5232,2.4289,1.25,3,2.5,3,1.5,1.25,4,4.1429,17.622,4,3,1.25,3
10000076,1645,2,113.19,2,1,1,2,4.375,1,1.25,2.25,1.779,2.094,1.2493,1,1.7143,3,2,2,2,1.5,2,21.7327,2,0,1.08333333333333,3
10000078,2016,1,114.28,1,1,8,2.8,3.375,1,1.25,3.5,1.2955,1.6551,0.9304,1.25,2.5714,3.75,4,1.8333,1.5,2.6667,2.7143,15.8181,3,1,1,3
10000079,1619,1,106.36,1,1,1,2.4,2.75,1,1.5,1,1.6228,2.3966,1.8008,2.75,2.4286,3,3.2,2,2.25,3,2.8571,14.0566,3,0,1.33333333333333,1
10000084,1067,2,108.03,1,1,3,5,1,2,1,3.25,3.4564,3.0685,2.9902,1.5,3.8571,4,3.8,1,1.75,5,5,20.574,3,1,1.83333333333333,2
10000087,1229,1,108.13,1,1,3,4.2,2.625,1,1.5,2.5,2.2458,3.2954,2.2337,1.25,2.8571,2.75,3,1.5,1.25,3.3333,4,18.2798,2,0,1.41666666666667,4
10000092,2308,1,105.93,1,2,1,3,3.375,1,1,2.75,2.8876,3.7851,2.9009,1.75,2.7143,3,3,1.5,1.25,2.6667,2.8571,18.0704,5,4,1.41666666666667,3
10000093,1184,2,114.02,1,1,1,4,2.125,1,1,1,3.018,3.3089,2.468,1.75,3,3.5,3.4,1.3333,1.25,3.8333,4,18.5559,4,3,1.25,2
10000094,3155,2,107.8,1,1,3,3.6,2.125,1.25,1.25,1,2.0763,2.8038,1.0749,1.5,2.7143,3.6667,3.2,1.5,1,3.8333,3.7143,19.5044,4,1,2.25,3
10000095,2045,2,105.17,1,1,1,3.6,1.625,1,1,1.5,2.8154,3.2602,2.7231,2,3.5714,3.75,3.6,1.1667,1,4.1667,4,12.5081,5,4,1.58333333333333,1
10000098,1547,1,112.24,1,1,3,4.2,2.875,1,1,1,2.3536,3.6769,2.0858,1,4,3.75,4,1,1.25,3.1667,3.8571,16.0722,4,0,1,4
10000106,2018,2,111.91,1,1,3,3.4,2.5,1.75,2,3,2.1689,1.7403,0.5538,2,2.7143,3.5,3.2,1.3333,2.5,3.1667,3.7143,14.9051,3,1,1.66666666666667,2
10000110,1815,2,105.14,1,1,1,3.6,2.875,1,1,3.5,2.2734,3.0827,2.1906,1.25,3,3.75,4,1,2.75,2.6667,3.8571,19.698,5,1,1.08333333333333,2
10000113,1438,1,107.15,1,1,5,2.8,3.25,1.25,2.5,2.5,3.8282,4.3032,2.8121,1,3.2857,2.5,2.4,2.3333,2.25,3.1667,2.4286,15.4228,3,5,1.16666666666667,2
10000115,3165,1,106.92,1,1,1,4.8,1,1,1,1.75,2.5712,3.5643,2.5681,1.5,4,4,3.6,1.1667,1,5,4.8571,19.8673,4,2,1,1
10000117,1263,2,114.67,2,1,1,3.8,3,1,1,1.25,1.9317,1.6095,2.2536,2.75,3.1429,3.75,3.8,1.1667,1.25,2.6667,3.8571,18.0406,4,3,1.83333333333333,1
10000118,1172,1,103.5,1,1,1,3,2.875,1.5,2.75,2.25,3.1411,3.1068,3.1071,2,2.1429,2.75,2.6,2.3333,1.25,2.8333,3.2857,17.3992,4,2,1.16666666666667,1
10000122,1021,1,112.9,1,1,3,2.8,3.25,2.75,3.5,2.75,2.2228,2.1971,0.8826,1.75,2.5714,2.25,2,2.5,2.25,2.6667,2.8571,16.0511,4,1,1.16666666666667,2
10000123,1939,2,106.19,1,1,2,3.6,3,1,1,3,1.5256,0.7439,1.0394,2,2.8571,3.25,3.6,1.5,1,2.6667,3.7143,20.1109,4,1,1.58333333333333,2
10000127,1369,1,109.68,1,1,1,3.6,4.25,1,2.25,4.5,1.0729,1.6576,1.2329,2.75,2.7143,3,3,2.3333,1.5,1.6667,3.1429,17.4704,2,0,2.25,4
10000128,1442,1,111.35,1,1,1,2.4,3.875,1.25,2.5,1.25,3.1322,3.4143,2.5813,1.75,2,2.75,2.8,2.4,1.5,2.3333,2.1429,16.0674,5,3,1.08333333333333,2
10000129,1756,2,108.53,1,1,8,5,1,1,1,2.5,3.4183,3.6826,3.3381,1.75,4,3,3.6,1,1.25,5,5,15.6683,3,3,1.41666666666667,2
10000132,1945,2,108.66,1,2,1,4.8,1.25,1,1,1.75,3.2014,3.4943,2.3907,2.25,4,3.5,4,1.1667,1.25,5,4.5714,15.5788,5,2,1.5,1
10000134,2782,1,113.42,1,1,3,1.6,2.625,1,1,1.25,1.6902,2.2833,0.9008,2,2.7143,4,3.5,1.1667,1.25,3,2.4286,19.8187,5,0,1.08333333333333,3
10000135,1687,1,110.76,1,1,1,3.2,4.125,1,1.75,2,3.1127,3.681,2.998,1.75,3,2.75,2.2,2.8333,1.5,1.8333,2.8571,16.6413,4,3,1.66666666666667,3
10000136,2073,2,103.53,1,2,1,5,1,1,1,1.75,3.3066,3.7802,3.0276,2,4,3.75,4,1,1,5,5,16.7223,4,4,1.25,2
10000141,1519,2,107.38,1,1,1,3.2,1.625,1,1,4,2.7236,2.8273,2.5394,2,3.7143,4,4,1.1667,1,4.3333,3.5714,24.3012,5,3,1.33333333333333,1
10000143,1414,1,107.87,1,1,1,3.6,2.875,2.25,3,3.25,2.1966,3.1053,2.5211,2.25,2.7143,2,2.2,3.1667,2,3.3333,3.2857,15.5242,4,0,1.33333333333333,2
10000146,1424,2,112.67,1,1,5,3.4,2.5,1.75,1.25,1.25,3.0415,3.6343,2.9484,1.5,2.8571,2.75,2.8,1.5,2,3.3333,3.5714,17.0829,3,2,1.08333333333333,2
10000148,1823,2,110.96,1,1,1,4.8,1,1,1,1.5,3.9568,3.5555,3.2518,1.5,3.8571,4,3.8,1,1.25,5,4.8571,14.6791,4,3,1.16666666666667,1
10000151,2086,1,105.6,1,1,3,4.2,1.25,1.25,1,1,2.7771,2.9062,2.3083,1.25,3.4286,3.3333,3.4,1.1667,1.75,4.8333,4.2857,37.5671,5,1,1,2
10000153,1142,2,104.48,1,2,3,4.8,1,1,1,1.75,3.2433,2.5258,2.5816,1.5,4,4,4,1.5,1,5,4.8571,19.2928,4,0,1.83333333333333,2
10000158,1739,1,113.16,1,1,1,4.6,1.125,1,1,1.25,2.9293,3.5856,2.075,1.25,4,3.75,3.8,1.1667,1.25,4.8333,4.7143,16.7696,4,1,1.25,3
10000160,1085,1,106.88,1,1,1,4,2.875,1.5,1.25,1.25,2.9872,3.9005,2.8015,1.5,3.2857,3.6667,3.8,1.5,1.25,3.1667,3.7143,18.0601,4,2,1.16666666666667,2
10000162,1334,1,103.92,2,1,2,3.8,2.125,1.25,1,1.5,2.5029,2.2619,1.1433,1,3.5714,3.5,3.4,1.1667,1,3.8333,3.8571,19.0224,3,0,1.25,3
10000165,2243,2,104.71,1,1,1,4,3.5,1.25,1.25,2,3.0056,3.5619,2.6494,2.5,2.5714,3.5,3,1.8333,1.5,2.1667,3.8571,14.8852,3,0,1.33333333333333,1
10000166,1494,2,103.23,1,1,1,2.8,3.5,1,1.25,1.5,2.5234,2.8788,2.7505,1.75,2,2.5,2.4,1.8333,1.25,2.5,2.7143,22.3142,3,0,1.66666666666667,2
10000167,5016,1,106.98,1,1,1,3.6,2.75,1,1.25,2.5,2.177,1.5256,2.5696,2.75,2.7143,3.25,2.8,1.6667,1.25,3,3.7143,17.1015,4,1,1.08333333333333,2
10000168,2297,2,107.28,1,1,1,5,1,1,1,2.75,3.1903,3.518,2.7362,1.75,4,3.75,4,1.1667,1.25,5,5,14.41,5,1,1.16666666666667,1
10000172,2066,1,102.08,1,1,1,2.4,2.625,2,2,4,2.3452,4.0624,3.2374,1.25,2.4286,2.25,2.2,2.6667,1.75,3.8333,2.2857,15.5197,5,1,1.33333333333333,2
10000173,2163,2,112.31,1,1,1,4.6,1.625,1,1,2,2.4219,3.0292,2.3186,1.25,3.5714,4,4,1,1.25,4.1667,4.7143,17.0198,5,5,1.41666666666667,2
10000174,2300,1,114.21,1,1,2,3,3.25,1.75,2.75,2.75,3.226,2.7736,2.1967,1.25,3,2.5,2.6,3,1.25,3,2.7143,33.3889,3,1,1,3
10000176,1276,2,114.77,1,1,5,4.6,1.25,1.25,1,1,2.5315,2.9089,0.854,1.25,4,3.5,3.8,1,1.5,4.6667,4.7143,17.3589,2,1,1.08333333333333,3
10000179,3800,1,104.88,1,2,1,3.2,3.75,1.5,2,4,2.7957,3.5196,2.5777,1.25,3,3.25,2.6,2.1667,1.5,2,3.1429,15.5944,3,2,1.16666666666667,1
10000181,2279,1,116.42,1,2,1,5,1,1,1,1.5,3.0515,3.0739,2.5413,1.25,4,4,4,1,1,5,5,16.2209,5,2,1.16666666666667,2
10000188,1872,2,111.09,1,1,1,4,1,1.25,1,2.75,2.8963,4.1917,2.6274,1,3.7143,3.75,3.6,1.1667,1,5,4.2857,15.7675,5,2,1.25,1
10000190,2255,1,106.09,1,1,1,2,4.125,1.75,2.75,1.75,2.5637,2.9927,2.2416,1.5,1.8571,2,2.2,3.3333,1,2,1.8571,13.7809,5,2,1.16666666666667,2
10000192,4898,1,120,1,1,8,3.8,3.375,1,1,1,2.9234,2.7294,2.7505,1.5,2.8571,4,4,1.8333,1,2.1667,3.8571,22.0151,5,1,3.75,2
10000194,1106,2,111.22,1,2,1,3.4,1.375,1.5,1,2.5,4.1899,3.7889,3.5984,1.25,3.8571,3.5,3.2,1.3333,1.5,5,3.4286,18.6758,4,3,1.33333333333333,3
10000201,4756,2,104.78,1,1,1,4.4,1.125,1,1.75,1.75,2.6771,3.5966,2.115,1,3.5714,3.25,2.2,1.6667,1.25,4.8333,4.5714,15.7567,4,1,1.5,3
