Brand,Product Name,Product Type,Review Body,Review Date,Review Stars,Review Title,URL,User ID
Dior,Diorshow Waterproof Mascara,Mascara,"This is my first Sephora product and was recommended by a friend who is a Sephora junkie! Well, I absolutely love it. I actually didn't mean to buy waterproof, but I'm glad I did. I cry a lot at movies and stuff, lol, and this mascara is definitely waterproof! No black lines running down my face.

It's not difficult to remove with make up removerm, either. I've jused drug store brands in the past that were like plastered to my eyelashes. Ridiculous! Dior really has a great line of products.

I also use the DiorShow Mazimizer lash plumping serum before I apply the mascara, and I must say, my eyelashes are amazing! If you're looking for volume and length, I suggest both products.

I have not had any clumping with it and it doesn't seem dry to me.",01 01 2011,5 stars,Favorite! :),https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,6.19E+16
Kat Von D,Tattoo Liner,Liquid Eyeliner,What can I say. I bought it in Dec. but havent had a chance to really use it. But for new years eve i tried it and yes it dose work. Theres others out there that will dry and flake off but this one didn't. This one is easy to apply and if you like to do a cat eye it is a lot easier to do with out the having too much on the brush. For sure am a buy another one when I finish the one I have now.,01 01 2011,5 stars,Best Yet,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,-8.33E+17
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,"Pros: Goes on easy. Looks good. Waterproof. Cons: Massive fallout. I had little dash marks. Odd formula to leave dash marks instead the usual 'flakes' from fallout. After one hour I checked it in the mirror to see how it was doing. All those little dashes and what length or volume I had at first was gone. No I did NOT rub or touch my eyes. Summary: Failure. Bringing back to the store. Hate to do it but for the price I'll find something to replace it.
…read more",01 01 2012,1 star,Failed,https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,-3.34E+18
Urban Decay,Eyeshadow Primer Potion - Original,Eye Primer,"I can't believe how I had to suffer years of gross smudged eyelids til I finally discovered this primer!!
I literally use it ever day and freak out if I forget to take it with me when I travel.",01 01 2012,5 stars,Absolute Must Have,https://www.sephora.com/product/eyeshadow-primer-potion-tube-original-P284716?icid2=products%20grid:p284716,1.08E+17
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,Setting Spray,"Worth it. Keeps makeup looking freshly applied for hours. Not sure about 16 hours, haven't tried that yet, but definitely works for 10 hours. Comes in travel size too, which is great for those weekend trips. I suggest spraying in to the air slightly above and in front your head and then walking through the mist. Do this three times.",01 01 2013,5 stars,Perfect setting spray,https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products%20grid:p263504,-9.21E+18
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,Setting Spray,"It is the best make up setting spray after
skindinavia's bridal setting spray. It fulfills everything it claims. It makes your make up lasts really long and look gorgeaous. It is a little bit drying because it is made with alcohol but every setting spray must have alcohol in order to do its job. It smells really nice, it also smells a little like alcohol, but really subtle. I love it.",01 01 2015,5 stars,Great,https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products%20grid:p263504,2.97E+18
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,Setting Spray,"So I did my makeup all nice for New Years Eve; winged liner, contour, highlight, the whole shabang. Wellllll...I went a little too hard that night and it did not end pretty. But what was pretty was my face the next morning when I woke up! Girl let me tell you, winged eyeliner was flawless, highlight was poppin, and my countour would have made Jaclyn Hill proud of me. This makeup setting spray made the next morning a little more bareable. Buy this stuff now.…read more",01 01 2016,5 stars,You need to buy this now,https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products%20grid:p263504,3.06E+18
Kat Von D,Tattoo Liner,Liquid Eyeliner,Best eyeIiner on the market,01 01 2018,5 stars,"<img src=""https://www.sephora.com/productimages/sku/s1177567+sw.jpg"" alt="""" class=""css-1ctithg "" role=""presentation"" data-comp=""Image Box"">Color: Trooper",https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,-5.12E+18
Stila,Stay All Day® Waterproof Liquid Eye Liner,Liquid Eyeliner,"I gave up on liquid liners years ago because they would always flake or peel off, and I would have half of my liner gone two hours into the day. This liquid liner was suggested to me by a Sephora associate, and although I was skeptical, I decided to try it out. I am SO glad I did.

This liner is AMAZING! It glides on smooth, and is easy to fix if your hand wiggles upon application. It does not fade or flake throughout the day. I've even fallen asleep a few times without removing my eye makeup, and when I woke up the next morning my eye liner was still nearly perfect.

I bought this liner about a month ago and it's still in great condition. The tip is slightly dry, but it doesn't really affect the application, and it doesn't seem to be running out yet.

One word of advice: after applying the liner above the lashline, use the thin tip to line inbetween your lashes. It makes your eyelashes look full and thick, and your eyes will instantly pop.",01 02 2012,5 stars,"Bold, Long Lasting Liner",https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=products%20grid:p253818,-3.32E+18
Stila,Stay All Day® Waterproof Liquid Eye Liner,Liquid Eyeliner,"This product passed the test for my bridal makeup. The test? An hour and a half of a ridiculous workout session leaving me so sweaty that it looked liked I jumped in a pool, and this was after a 9 hour workday. And this eyeliner was still there when I got home from my workout class.",01 02 2015,5 stars,The Best Waterproof Sweatproof Eyeliner,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=products%20grid:p253818,5.54E+18
