ItemID	Title	Authors	Year
0	The Expedition of Humphry Clinker	Smollett, Tobias	1771
1	Pomes Penyeach	Joyce, James	1927
2	The City of Dreadful Night		
3	Axel's Castle: A Study in the Imaginative Literature of 1870 – 1930	Wilson, Edmund	1931
4	Exile's Return: A Narrative of Ideas	Cowley, Malcolm	1934
5	Poems	Heine, Heinrich	
6	A Passage to India	Forster, E. M.	1924
7	Typhoon	Conrad, Joseph	1902
8	Tents of Israel	Stern, G. B. (Gladys Bronwyn)	1924
9	Later Poems	Yeats, William Butler	1922
10	Dreiser Looks at Russia	Dreiser, Theodore	1928
11	The Jesuit Enigma	Barrett, Edward Boyd	1927
12	The Life and Times of Laurence Sterne	Cross, Wilbur L.	1909
13	The Irish Beauties	Beck, L. Adams	1931
14	To Return to Yesterday	Ford, Ford Madox	1931
15	A History of Theatrical Art in Ancient and Modern Times	Mantzius, Karl	1903
16	Poems of Walter Scott	Scott, Walter	
17	The Horse-Stealers and Other Stories	Chekhov, Anton Pavlovich	1921
18	The Crock of Gold	Stephens, James	1912
19	Those Barren Leaves	Huxley, Aldous	1925
20	James Joyce and the Making of Ulysses	Budgen, Frank	1934
21	Restoration Comedy, 1660 – 1720	Dobrée, Bonamy	1924
22	The Friendly Tree	Day Lewis, C. (Cecil)	1936
23	Poems	Spender, Stephen	1933
24	The Home and the World	Tagore, Rabindranath	1919
25	Manhattan Transfer	Dos Passos, John	1925
26	Green Hills of Africa	Hemingway, Ernest	1935
27	Lady into Fox	Garnett, David	1922
28	Across Spoon River: An Autobiography	Masters, Edgar Lee	1936
29	The Story of a Novel	Wolfe, Thomas	1936
30	Everywoman: A Novel	Frankau, Gilbert	1933
31	Leviathan	Hobbes, Thomas	1651
32	Catherine the Great	Anthony, Katharine Susan	1925
33	Peter the Great		
34	Artemus Ward		
35	The Secret War	Hanighen, Frank Cleary	1934
36	Freud and Marx: A Dialectical Study	Osborn, Reuben (Rupert Osbert)	1937
37	To Wake the Dead	Carr, John Dickson (Carter Dickson, pseud.)	1937
38	The Ace of Knaves	Charteris, Leslie	1937
39	Jane Austen		
40	Enchanter's Nightshade	Bridge, Ann	1937
41	Punch and Judy		
42	Moll Flanders	Defoe, Daniel	1722
43	The Swan of Usk: A Historical Novel	Ashton, Helen	1940
44	Bevis	Jefferies, Richard	1882
45	The Serial Universe	Dunne, J. W. (John William)	1934
46	Brighton Rock	Greene, Graham	1938
47	Starting Point	Day Lewis, C. (Cecil)	1937
48	The Clergyman's Daughter	Orwell, George	1935
49	The Return of Don Quixote	Chesterton, G. K. (Gilbert Keith)	1927
50	The Pretty Lady	Bennett, Arnold	1918
51	Life and Letters		
52	Letters of Louise Imogen Guiney	Guiney, Louise Imogen	1926
53	The Hamlet	Faulkner, William	1931
54	The Day Before	Porter, Katherine Anne	1952
55	Contemporary French Literature	Lalou, René	1924
56	Toward Balzac	Levin, Harry	1947
57	Oblomov	Goncharov, Ivan Aleksandrovich	1929
58	Dead Souls	Gogol, Nikolai Vasilievich	1922
59	Evenings on a Farm Near Dikanka	Gogol, Nikolai Vasilievich	1926
60	The Overcoat and Other Stories	Gogol, Nikolai Vasilievich	1923
61	Cousin to Human	Mayhall, Jane	1960
62	Cashel Byron's Profession	Shaw, George Bernard	1886
63	The Lunatic at Large: A Novel	Clouston, J. Storer (Joseph Storer)	1899
